Month,Baseline,Marketing +10%,Price +5%,Demand -8%
2026-03-01,1623.729902979675,1786.1028932776426,1704.9163981286588,1493.8315107413011
2026-04-01,1679.6174027529569,1847.5791430282527,1763.598272890605,1545.2480105327204
2026-05-01,1644.598576450383,1809.0584340954215,1726.8285052729022,1513.0306903343524
2026-06-01,1666.5411969036977,1833.1953165940677,1749.8682567488827,1533.217901151402
2026-07-01,1652.7920612759615,1818.0712674035578,1735.4316643397597,1520.5686963738847
2026-08-01,1661.4072005166045,1827.547920568265,1744.4775605424347,1528.4946244752762
